ELEM_KOD;TELEP_NEV;JARAS_NEV;MEGYE_NEV;REGIO_NEV;NAGYREGIO_NEV;VALUE
2761;Zimány;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;379
2678;Várda;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;554.4
3239;Drávaiványi;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;149.4
1158;Vilmány;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;262.1
2520;Nagytevel;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;476.5
2521;Murakeresztúr;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;466.8
2692;Ásványráró;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;503.2
2860;Drávaszabolcs;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;461.5
1206;Hermánszeg;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;260.9
3299;Kács;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;530.1
1524;Pusztamonostor;Jászberényi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;458.1
2034;Vashosszúfalu;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;469.9
2361;Kömörő;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;418.2
431;Tarpa;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;349.4
2671;Abaújkér;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;402.2
2038;Mérges;Téti;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;500
2041;Újléta;Nyíradonyi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;338
3113;Körösszakál;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;313.4
653;Pusztamagyaród;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;437.6
1828;Kisköre;Hevesi;Heves;Észak-Magyarország;Alföld és Észak;322.1
1844;Zalaszentmihály;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;512.8
2452;Tök;Budakeszi;Pest;Pest;Közép-Magyarország;387.8
2457;Sámsonháza;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;477.5
1936;Bábolna;Komáromi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;528.6
1957;Krasznokvajda;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;251.1
515;Somlójenő;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;385.2
2298;Sótony;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;552.7
2594;Egyházasrádóc;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;516.4
2674;Parasznya;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;368.9
2693;Mocsa;Komáromi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;475.3
2187;Piliscsév;Esztergomi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;485.9
2196;Lesenceistvánd;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;485.7
2264;Felgyő;Csongrádi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;499.5
692;Bekecs;Szerencsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;547.7
1551;Kőröshegy;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;510.7
1557;Nagykörű;Szolnoki;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;370.7
2094;Kistolmács;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;476.5
724;Apc;Hatvani;Heves;Észak-Magyarország;Alföld és Észak;442.4
2290;Béb;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;534.1
2314;Becsehely;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;533.2
2846;Nagypáli;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;614.8
763;Kömlőd;Oroszlányi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;494.1
766;Oszkó;Vasvári;Vas;Nyugat-Dunántúl;Dunántúl;555.4
1700;Balatongyörök;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;626.8
607;Keménfa;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;447.4
967;Nemesrempehollós;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;488.4
968;Cégénydányád;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;396.7
859;Tab;Tabi;Somogy;Dél-Dunántúl;Dunántúl;474.2
974;Felsődobsza;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;250.9
754;Szentlőrinckáta;Nagykátai;Pest;Pest;Közép-Magyarország;405.9
868;Süttő;Esztergomi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;464.8
872;Győrasszonyfa;Pannonhalmi;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;413
879;Tiszakóród;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;281.7
880;Siklósnagyfalu;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;214.3
2609;Lónya;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;345.6
2942;Nőtincs;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;481.3
1608;Kispáli;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;726.6
1768;Ágasegyháza;Kecskeméti;Bács-Kiskun;Dél-Alföld;Alföld és Észak;486.3
1771;Kisdorog;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;384.7
2274;Nagycserkesz;Nyíregyházi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;393.1
2279;Jászkisér;Jászapáti;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;369.2
3122;Végegyháza;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;353.1
3295;Elek;Gyulai;Békés;Dél-Alföld;Alföld és Észak;364.5
1453;Kömlő;Hevesi;Heves;Észak-Magyarország;Alföld és Észak;278.2
1539;Pirtó;Kiskunhalasi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;624.7
1706;Keresztéte;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1,809.5
1881;Noszvaj;Egri;Heves;Észak-Magyarország;Alföld és Észak;466.1
1916;Szabolcs;Nyíregyházi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;434
2419;Fácánkert;Tolnai;Tolna;Dél-Dunántúl;Dunántúl;509.2
1219;Romhány;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;419.1
1221;Tállya;Szerencsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;410.4
1349;Erzsébet;Pécsváradi;Baranya;Dél-Dunántúl;Dunántúl;481.8
992;Hetes;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;529.3
2903;Mezőszilas;Sárbogárdi;Fejér;Közép-Dunántúl;Dunántúl;381.2
3438;Szorgalmatos;Tiszavasvári;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;541
1764;Keszőhidegkút;Tamási;Tolna;Dél-Dunántúl;Dunántúl;470.2
1928;Cikó;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;486.9
3208;Alsópáhok;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;567.7
3210;Inárcs;Dabasi;Pest;Pest;Közép-Magyarország;505.4
2883;Alsószuha;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;387.7
2670;Csorvás;Békéscsabai;Békés;Dél-Alföld;Alföld és Észak;398.6
1117;Kéthely;Marcali;Somogy;Dél-Dunántúl;Dunántúl;439
940;Tápióság;Nagykátai;Pest;Pest;Közép-Magyarország;443.5
945;Márfa;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;581.5
282;Abaújlak;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;765.6
1236;Pálháza;Sátoraljaújhelyi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;527.7
550;Somogyaracs;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;168.5
420;Mezőgyán;Sarkadi;Békés;Dél-Alföld;Alföld és Észak;320.9
912;Farmos;Nagykátai;Pest;Pest;Közép-Magyarország;421.2
1142;Pula;Veszprémi;Veszprém;Közép-Dunántúl;Dunántúl;528
1708;Penészlek;Nyírbátori;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;359.9
2050;Kurd;Dombóvári;Tolna;Dél-Dunántúl;Dunántúl;403.1
3088;Répcelak;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;602.3
3091;Vanyarc;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;402.7
1135;Damak;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;455.8
1146;Zala;Tabi;Somogy;Dél-Dunántúl;Dunántúl;562.2
1170;Vöröstó;Veszprémi;Veszprém;Közép-Dunántúl;Dunántúl;475
1186;Érsekcsanád;Bajai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;485.8
1083;Olcsvaapáti;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;281.1
581;Szőkedencs;Marcali;Somogy;Dél-Dunántúl;Dunántúl;450
585;Kunadacs;Kunszentmiklósi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;567.7
586;Egerlövő;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;477.3
2869;Tiszaigar;Tiszafüredi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;355.9
2919;Péterhida;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;458
898;Vámospércs;Nyíradonyi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;395
920;Detk;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;468.6
959;Tura;Aszódi;Pest;Pest;Közép-Magyarország;491.6
3019;Csér;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;793.1
3082;Kisberény;Fonyódi;Somogy;Dél-Dunántúl;Dunántúl;260.6
1064;Csertalakos;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;428.6
1072;Edelény;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;391.5
1074;Kistótfalu;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;471.4
1177;Sárszentmihály;Székesfehérvári;Fejér;Közép-Dunántúl;Dunántúl;1,170.4
608;Ádánd;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;432.4
1308;Kozmadombja;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;606.1
503;Gyula;Gyulai;Békés;Dél-Alföld;Alföld és Észak;440.4
1081;Kiskunlacháza;Ráckevei;Pest;Pest;Közép-Magyarország;491.9
1191;Balatonőszöd;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;537.4
1085;Érpatak;Nagykállói;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;366.3
2598;Vassurány;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;568.5
1152;Balaton;Bélapátfalvai;Heves;Észak-Magyarország;Alföld és Észak;409.8
1154;Szentjakabfa;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;590.9
2839;Tiszalúc;Szerencsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;316.3
1666;Kölcse;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;413.9
755;Rádóckölked;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;514.8
865;Kisszentmárton;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;373.1
1244;Abádszalók;Kunhegyesi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;376.4
566;Ozora;Tamási;Tolna;Dél-Dunántúl;Dunántúl;374.3
330;Iklad;Aszódi;Pest;Pest;Közép-Magyarország;469.7
921;Földeák;Makói;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;384.1
1042;Magyaratád;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;483
938;Zalaújlak;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;509.8
538;Sümegprága;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;502.6
889;Biatorbágy;Budakeszi;Pest;Pest;Közép-Magyarország;500.2
285;Geresdlak;Pécsváradi;Baranya;Dél-Dunántúl;Dunántúl;477.6
856;Csapod;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;553.3
2042;Szelevény;Kunszentmártoni;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;409.2
2813;Kunszentmiklós;Kunszentmiklósi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;470.5
2816;Lovászi;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;458.4
753;Bürüs;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;346.7
764;Harka;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;602.7
876;Alsószenterzsébet;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;377.4
2857;Szabás;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;295
2886;Sződliget;Váci;Pest;Pest;Közép-Magyarország;484.8
3033;Vácegres;Aszódi;Pest;Pest;Közép-Magyarország;447.6
3093;Nagykanizsa;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;476.4
3107;Öttömös;Mórahalmi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;546.4
1041;Nagyút;Füzesabonyi;Heves;Észak-Magyarország;Alföld és Észak;366.4
2982;Tököl;Szigetszentmiklósi;Pest;Pest;Közép-Magyarország;472.9
3145;Tevel;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;460.9
3001;Réde;Kisbéri;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;578.6
520;Villánykövesd;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;600
748;Győrújbarát;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;532
749;Tószeg;Szolnoki;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;452.8
1703;Tagyon;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;536.6
1723;Nagymágocs;Szentesi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;367.9
1731;Százhalombatta;Érdi;Pest;Pest;Közép-Magyarország;477.8
407;Ócsa;Gyáli;Pest;Pest;Közép-Magyarország;500
2391;Óbudavár;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;816.3
2559;Sümeg;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;462.3
2721;Ostoros;Egri;Heves;Észak-Magyarország;Alföld és Észak;504.3
2920;Boba;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;474
3096;Gyékényes;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;429.6
3429;Berente;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;352
2328;Felsőszölnök;Szentgotthárdi;Vas;Nyugat-Dunántúl;Dunántúl;554.5
2334;Tarnaméra;Hevesi;Heves;Észak-Magyarország;Alföld és Észak;519.3
2339;Újiráz;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;408
479;Rábacsanak;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;623.5
482;Kisgyalán;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;527.8
2428;Zalabér;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;460.5
2446;Mikebuda;Ceglédi;Pest;Pest;Közép-Magyarország;557.7
267;Kántorjánosi;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;473.7
3316;Dad;Oroszlányi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;565.1
1468;Pinnye;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;635.5
1494;Ságvár;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;492.4
1497;Nagyrécse;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;543
1832;Vásárosnamény;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;443
1721;Porcsalma;Csengeri;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;287.6
2055;Királyegyháza;Szentlőrinci;Baranya;Dél-Dunántúl;Dunántúl;419
2306;Orosháza;Orosházi;Békés;Dél-Alföld;Alföld és Észak;442.4
2647;Csátalja;Bajai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;437.5
2836;Potony;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;294.4
3011;Berzence;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;417.9
3348;Sátorhely;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;410.7
2803;Nekézseny;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;512
1983;Szilágy;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;476.5
1990;Csányoszró;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;433.1
1665;Vászoly;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;541.4
1839;Dány;Gödöllői;Pest;Pest;Közép-Magyarország;427.9
418;Perőcsény;Szobi;Pest;Pest;Közép-Magyarország;527.6
2526;Alattyán;Jászapáti;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;335.4
207;Dunaremete;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;631.4
1905;Kisasszond;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;472.2
2590;Tömörkény;Csongrádi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;443.9
2676;Simaság;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;582.7
2681;Vecsés;Vecsési;Pest;Pest;Közép-Magyarország;589.7
794;Viszák;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;937.3
577;Szászberek;Szolnoki;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;484.2
346;Kétegyháza;Gyulai;Békés;Dél-Alföld;Alföld és Észak;386.9
636;Dörgicse;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;512.8
2172;Zagyvaszántó;Hatvani;Heves;Észak-Magyarország;Alföld és Észak;492.1
358;Szabolcsveresmart;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;322.7
841;Kastélyosdombó;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;240
1325;Szabadegyháza;Gárdonyi;Fejér;Közép-Dunántúl;Dunántúl;457.7
1087;Doba;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;567.6
1336;Botykapeterd;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;506.5
873;Bakonycsernye;Móri;Fejér;Közép-Dunántúl;Dunántúl;469.5
1097;Tiszavalk;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;428.6
1098;Szulok;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;541.2
990;Rácalmás;Dunaújvárosi;Fejér;Közép-Dunántúl;Dunántúl;512.4
1222;Terpes;Pétervásárai;Heves;Észak-Magyarország;Alföld és Észak;234.1
2944;Gulács;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;361.3
2449;Kisbárapáti;Tabi;Somogy;Dél-Dunántúl;Dunántúl;369.4
2451;Ecser;Vecsési;Pest;Pest;Közép-Magyarország;495
2070;Mórágy;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;406.8
2403;Dombegyház;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;354.5
3419;Kaszó;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;638.6
1570;Vilonya;Várpalotai;Veszprém;Közép-Dunántúl;Dunántúl;498.5
209;Gutorfölde;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;511.2
220;Isztimér;Móri;Fejér;Közép-Dunántúl;Dunántúl;459.3
648;Nagyecsed;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;333.2
697;Cserépfalu;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;506.5
736;Szárász;Komlói;Baranya;Dél-Dunántúl;Dunántúl;500
1086;Ecseny;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;455.9
525;Kuncsorba;Törökszentmiklósi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;381.1
637;Pomáz;Szentendrei;Pest;Pest;Közép-Magyarország;454.1
1726;Ráckeve;Ráckevei;Pest;Pest;Közép-Magyarország;493.5
1886;Lúzsok;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;227.3
2263;Máriahalom;Esztergomi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;505.4
2940;Agyagosszergény;Kapuvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;596.1
728;Bakonykoppány;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;565.2
2741;Putnok;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;271.8
2766;Dubicsány;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;571.4
2356;Mezőlak;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;516.1
2393;Méhkerék;Sarkadi;Békés;Dél-Alföld;Alföld és Észak;461.5
2395;Mohács;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;428.4
2398;Nagyoroszi;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;449.9
2414;Verpelét;Egri;Heves;Észak-Magyarország;Alföld és Észak;369.3
342;Bogyiszló;Tolnai;Tolna;Dél-Dunántúl;Dunántúl;444.2
352;Baja;Bajai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;491.3
484;Terény;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;376.1
517;Hajdúszoboszló;Hajdúszoboszlói;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;420.5
559;Izsófalva;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;315.7
446;Szakály;Tamási;Tolna;Dél-Dunántúl;Dunántúl;490.5
1254;Abaliget;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;525.2
573;Gerjen;Paksi;Tolna;Dél-Dunántúl;Dunántúl;431.4
807;Szendrő;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;239.2
1385;Csertő;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;412.7
1661;Egercsehi;Egri;Heves;Észak-Magyarország;Alföld és Észak;363.8
3048;Forró;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;279.1
3390;Kisdobsza;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;449.6
1227;Nyírmada;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;303.4
283;Nemeskocs;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;538.7
354;Kökény;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;518.1
986;Pölöske;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;520.1
1212;Letenye;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;456.9
529;Pilisszántó;Pilisvörösvári;Pest;Pest;Közép-Magyarország;484.7
2945;Halastó;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;683.5
3111;Pölöskefő;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;378.1
1939;Bélmegyer;Békési;Békés;Dél-Alföld;Alföld és Észak;472.2
1147;Lendvajakabfa;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;720.9
1252;Ságújfalu;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;354.6
1257;Lenti;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;534.8
458;Veszkény;Kapuvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;574.4
2215;Fülöp;Nyíradonyi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;352.8
2383;Zalaháshágy;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;605.1
1617;Szögliget;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;441.9
1783;Fazekasboda;Pécsváradi;Baranya;Dél-Dunántúl;Dunántúl;379.9
1949;Nógrádsipek;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;542.2
973;Vigántpetend;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;416.3
985;Komlósd;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;473.4
1010;Áporka;Ráckevei;Pest;Pest;Közép-Magyarország;847.1
3013;Hercegkút;Sárospataki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;617.1
3014;Szenyér;Marcali;Somogy;Dél-Dunántúl;Dunántúl;285.2
3030;Tiszagyenda;Kunhegyesi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;329.7
3118;Kisvejke;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;302.5
492;Karcag;Karcagi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;381
604;Kunbaja;Bácsalmási;Bács-Kiskun;Dél-Alföld;Alföld és Észak;395.3
731;Bokod;Oroszlányi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;533.8
963;Görcsönydoboka;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;546.3
863;Tiszapalkonya;Tiszaújvárosi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;411.3
1176;Veszprém;Veszprémi;Veszprém;Közép-Dunántúl;Dunántúl;450.5
487;Litke;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;257.4
1311;Boldogasszonyfa;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;412.4
1194;Gyöngyösfalu;Kőszegi;Vas;Nyugat-Dunántúl;Dunántúl;549.1
1328;Felsőegerszeg;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;427.4
1882;Alsórajk;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;496.9
2044;Tiszainoka;Kunszentmártoni;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;297.2
2046;Baranyahídvég;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;310.1
2585;Köveskál;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;605.2
2756;Zalaszombatfa;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;666.7
699;Kővágótöttös;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;492
3237;Diósviszló;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;405.3
3409;Móricgát;Kiskunmajsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;685.1
3412;Rudolftelep;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;317
2100;Tordas;Martonvásári;Fejér;Közép-Dunántúl;Dunántúl;537.4
